单位名称,统一社会信用代码,住所,环评工程师数量,主要编制人员数量,当前状态,第1记分周期,第2记分周期,第3记分周期,第4记分周期,第5记分周期
南京国环科技股份有限公司,91320100339348292G,江苏省-南京市-玄武区-花园路11号2号楼,72,107,守信名单,1:2019:5,2:2020:5,3:2021:0,4:2022:0,5:2023:0
江苏环保产业技术研究院股份公司,91320191MA1MG37A02,江苏省-南京市-江北新区-研创园江淼路88号腾飞大厦A座23层（办公地址：建邺区江东中路211号凤凰文化广场A座19楼）,56,97,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江省环境科技有限公司,913300005765162022,浙江省-杭州市-西湖区-浙谷深蓝商务中心6号楼1501室,54,102,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海建科环境技术有限公司,91310120593183075T,上海市-上海市-闵行区-申旺路519号7幢H座,46,57,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山东省环境保护科学研究设计院有限公司,91370000MA3CL36A6Q,山东省-济南市-历城区-贞元街1277号鲁坤天鸿创谷中心1-1号楼,46,83,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中圣环境科技发展有限公司,91610000563794182G,陕西省-西安市-高新技术产业开发区-锦业路2号旺都第一幢D座4单元26层,45,48,正常公开,1:2019:8,2:2020:0,3:2021:0,4:2022:5,5:2023:0
中南安全环境技术研究院股份有限公司,91420000309805261X,湖北省-武汉市-武昌区-中南二路2号,44,83,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
河北省众联能源环保科技有限公司,91130100774441336R,河北省-石家庄市-桥西区-裕华西路66号海悦天地购物广场A-F座6单元1601-1619号,43,66,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江苏润环环境科技有限公司,913201130579629805,江苏省-南京市-栖霞区-仙林大学城元化路南京仙林大学城科技园有限公司项目地块办公房327室（办公地址：南京市鼓楼区水佐岗64号金建大厦14楼）,40,86,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
江苏省环境工程技术有限公司,91320000MA22C9L494,江苏省-南京市-建邺区-嘉陵江东街8号2幢3单元9层,40,20,守信名单,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
湖北君邦环境技术有限责任公司,91420112753422574W,湖北省-武汉市-东西湖区-武汉市吴家山新城十二路湖北现代五金机电城综合楼五楼515室（1）,38,96,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
福建省金皇环保科技有限公司,91350000MA346J5X2D,福建省-福州市-台江区-白马路10号万科广场S2栋第五层,38,71,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
浙江仁欣环科院有限责任公司,91330212MA281EUY04,浙江省-宁波市-鄞州区-宁波市鄞州区日丽中路南部商务西区3号楼水街40号,35,69,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
重庆环科源博达环保科技有限公司,91500105MA5U5P5431,重庆市-重庆市-渝北区-龙山街道龙山一路扬子江商务中心7楼,35,29,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
南大环境规划设计研究院（江苏）有限公司,91320891MA1MG7K37M,江苏省-南京市-鼓楼区-鼓楼街道汉口路22号逸夫管理科学楼14楼,34,68,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
河北奇正环境科技有限公司,91130104779199876U,河北省-石家庄市-桥西区-自强路118号中交财富中心T3座5层,33,29,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
南京大学环境规划设计研究院集团股份公司,91320116598034087A,江苏省-南京市-江北新区-（原六合区）科创大道9号A6栋5层,33,41,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团华东勘测设计研究院有限公司,91330000142920718C,浙江省-杭州市-下城区-潮王路22号,31,25,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
联合泰泽环境科技发展有限公司,91120101MA05KTQY3M,天津市-天津市-和平区-天津市和平区小白楼街曲阜道80号504室,29,10,正常公开,1:2019:0,2:2020:5,3:2021:5,4:2022:0,5:2023:0
中煤科工重庆设计研究院(集团)有限公司,915000002028031195,重庆市-重庆市-渝中区-大坪长江二路179号,27,45,守信名单,1:2019:10,2:2020:5,3:2021:0,4:2022:0,5:2023:0
辽宁省环境规划院有限公司,912100000517847650,辽宁省-沈阳市-皇姑区-崇山东路34号,27,33,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
南京源恒环境研究所有限公司,91320113780658830G,江苏省-南京市-栖霞区-马群街道紫东路2号7幢501-502室,26,41,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江省工业环保设计研究院有限公司,91330108143049602B,浙江省-杭州市-西湖区-教工路149号14幢7-10层,26,42,正常公开,1:2019:5,2:2020:0,3:2021:5,4:2022:0,5:2023:0
四川省环科源科技有限公司,91510100MA61T42C93,四川省-成都市-高新区-中国（四川）自由贸易试验区成都高新区天府四街199号长虹科技大厦B座12层,26,39,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中海环境科技（上海）股份有限公司,91310000055928009H,上海市-上海市-中国（上海）自由贸易试验区-民生路600号10号楼,26,29,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
广东智环创新环境科技有限公司,91440101MA59CHG40J,广东省-广州市-越秀区-东风中路341号二楼南面,25,74,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
山西省交通环境保护中心站（有限公司）,91140000MA0GRP226Y,山西省-太原市-山西转型综改示范区-武洛街27号,25,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江西省地质局实验测试大队,12360000858266387A,江西省-南昌市-青山湖区-洪都中大道101号260厂院内,24,22,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:5
信息产业电子第十一设计研究院科技工程股份有限公司,915101002019764990,四川省-成都市-成华区-双林路251号A座,24,32,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
国电环境保护研究院有限公司,91320100733157662P,江苏省-南京市-浦口区-浦东路10号,24,13,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
河南省化工研究所有限责任公司,914101038699517429,河南省-郑州市-二七区-郑州市建设东路37号,24,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山西晋环科源环境资源科技有限公司,911401003257369137,山西省-太原市-万柏林区-漪汾桥西望景路8号浙江大厦七层,24,22,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中铁第一勘察设计院集团有限公司,91610000224338828L,陕西省-西安市-雁塔区-西影路2号,24,27,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
陕西省现代建筑设计研究院有限公司,916100004352009337,陕西省-西安市-浐灞生态区-兴泰七街168号,23,41,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
